Bezirk;Stadtteile;absolut 2023;aufgeklärt 2023;absolut 2024;aufgeklärt 2024;veränderung prozent
Altona;Altona-Altstadt;4.144;2.009;4.039;1.945;-2,5
Altona;Sternschanze;2.088;1.034;1.774;736;-15,0
Altona;Altona-Nord;4.226;2.276;4.417;2.518;4,5
Altona;Ottensen;2.696;1.057;2.994;1.298;11,1
Altona;Bahrenfeld;3.235;1.407;3.098;1.233;-4,2
Altona;Groß Flottbek;522;162;423;130;-19,0
Altona;Othmarschen;1.030;293;1.093;237;6,1
Altona;Lurup;2.114;915;2.227;1.015;5,3
Altona;Osdorf;2.030;890;1.857;912;-8,5
Altona;Nienstedten;297;71;303;82;2,0
Altona;Blankenese;829;224;703;214;-15,2
Altona;Iserbrook;401;151;407;165;1,5
Altona;Sülldorf;505;244;403;162;-20,2
Altona;Rissen;864;352;773;286;-10,5